Date 	wipro	nestle
31-Mar-21	414.15	17165.2
30-Mar-21	418.1	17165
26-Mar-21	403.9	16571.75
25-Mar-21	399.65	16170.1
24-Mar-21	411	16448.1
23-Mar-21	415.5	16681.35
22-Mar-21	414.45	16588.05
19-Mar-21	410.5	16450.85
18-Mar-21	410.15	16201.25
17-Mar-21	419.65	16455.75
16-Mar-21	429.3	16741.95
15-Mar-21	426.35	16833.05
12-Mar-21	425.2	16722.45
10-Mar-21	426.7	16931.45
09-Mar-21	419.2	16910.8
08-Mar-21	416.9	16852.45
05-Mar-21	420.85	16782.9
04-Mar-21	438.8	16661.8
03-Mar-21	435.5	16699.25
02-Mar-21	430.4	16576.15
01-Mar-21	414.4	16292.45
26-Feb-21	410.3	16101.6
25-Feb-21	421.3	16113.9
24-Feb-21	423.1	16346.15
23-Feb-21	415.5	16169.95
22-Feb-21	418.7	16096.3
19-Feb-21	429.95	16376.4
18-Feb-21	432.95	16364.7
17-Feb-21	430.2	16741.2
16-Feb-21	437.55	17217.25
15-Feb-21	439.7	17479.85
12-Feb-21	442	17294.3
11-Feb-21	437	17412.25
10-Feb-21	439	17177.35
09-Feb-21	439.35	17318.95
08-Feb-21	435.3	17218.2
05-Feb-21	425.55	17115.75
04-Feb-21	429.9	17074
03-Feb-21	433.5	17166.4
02-Feb-21	428.35	17190.3
01-Feb-21	421.5	17087.7
29-Jan-21	417.9	17060
28-Jan-21	431.9	17387.65
27-Jan-21	446.45	17538.1
25-Jan-21	437.25	17415.25
22-Jan-21	444.75	17589.6
21-Jan-21	445.8	17716.3
20-Jan-21	444.95	17681.3
19-Jan-21	430.25	17754.7
18-Jan-21	431.55	17630.7
15-Jan-21	438.55	17834
14-Jan-21	454.35	18132.6
13-Jan-21	459	18019.3
12-Jan-21	457.7	17999.1
11-Jan-21	446.8	18391.45
08-Jan-21	430.2	18306.25
07-Jan-21	406.75	18127.3
06-Jan-21	406.4	18515.25
05-Jan-21	406.3	18558.25
04-Jan-21	396.4	18377.95
01-Jan-21	388.1	18450.7
31-Dec-20	386.25	18390.25
30-Dec-20	384.4	18379.25
29-Dec-20	385	18262.65
28-Dec-20	382.9	18597.35
24-Dec-20	382.2	18566.35
23-Dec-20	385.55	18732.7
22-Dec-20	364.2	18553.55
21-Dec-20	353.95	18192.6
18-Dec-20	363.55	18362.75
17-Dec-20	356.9	18305.35
16-Dec-20	358.4	18323.45
15-Dec-20	352.7	18189.9
14-Dec-20	349.35	18591.8
11-Dec-20	353.5	18401.1
10-Dec-20	355.9	18352.7
09-Dec-20	359.5	17569.15
08-Dec-20	363.7	17519.45
07-Dec-20	358.45	17562.55
04-Dec-20	360.8	17828.7
03-Dec-20	360.3	17492.15
02-Dec-20	358.9	17266.45
01-Dec-20	352.85	17418.15
27-Nov-20	350.5	17888.95
26-Nov-20	354.85	17741.95
25-Nov-20	350	17520.2
24-Nov-20	355.5	17677.6
23-Nov-20	355.85	17786.4
20-Nov-20	346.3	17460.4
19-Nov-20	342.6	16934.15
18-Nov-20	345.3	16872.6
17-Nov-20	348.7	16982.85
14-Nov-20	345.45	16838.15
13-Nov-20	344.15	16825.65
12-Nov-20	345.55	16718.6
11-Nov-20	346.75	16697.6
10-Nov-20	342.3	16604.75
09-Nov-20	351.95	17332
06-Nov-20	345.75	17006.65
05-Nov-20	345.4	17221.3
04-Nov-20	342.95	16997.1
03-Nov-20	335.65	16892.5
02-Nov-20	334.8	17114.95
30-Oct-20	340.7	17161.6
29-Oct-20	337.45	16870.6
28-Oct-20	335.65	17119.15
27-Oct-20	334.05	17229.85
26-Oct-20	339.8	16259.35
23-Oct-20	342.4	15865.45
22-Oct-20	344.45	15909.45
21-Oct-20	343.45	16030.85
20-Oct-20	346.75	16252.55
19-Oct-20	343.2	16093.15
16-Oct-20	339.65	15430.25
15-Oct-20	341.6	15602.75
14-Oct-20	350.45	15673.05
13-Oct-20	375.95	15673
12-Oct-20	377.5	15902.2
09-Oct-20	374	16034.1
08-Oct-20	359.45	16304.6
07-Oct-20	335.3	16114.4
06-Oct-20	330.05	15876.85
